R,HF,FCI,CISD
1.0,-99.68877762343753,-99.78157339297807,-99.77898193955278
1.2222222222222223,-99.76797462702673,-99.86051823450538,-99.85790598391337
1.4444444444444444,-99.81136685591416,-99.90233353504749,-99.89981591180062
1.6666666666666665,-99.83450297069322,-99.9238919362262,-99.92148129711339
1.8888888888888888,-99.84662711758166,-99.93499494261906,-99.9326588756539
2.111111111111111,-99.85283219297906,-99.9406656735598,-99.93837037022391
2.333333333333333,-99.85592130548353,-99.94349177176204,-99.94121686905444
2.5555555555555554,-99.85741152860048,-99.94484091930185,-99.94257702186941
2.7777777777777777,-99.85809061162033,-99.94543166461379,-99.94317471508418
3.0,-99.85836636033011,-99.94564831847403,-99.94339604855303
