R,HF,FCI,CISD
1.0,-99.63013358715621,-99.63013358715617,-99.63013358715615
1.2222222222222223,-99.75789997957118,-99.75789997957118,-99.75789997956933
1.4444444444444444,-99.81634105167684,-99.81634105167696,-99.81634105167684
1.6666666666666665,-99.84501172165845,-99.84501172165841,-99.8450117216425
1.8888888888888888,-99.85960462220105,-99.85960462220109,-99.85960462220105
2.111111111111111,-99.86703808608996,-99.86703808608996,-99.86703808608989
2.333333333333333,-99.87076292748942,-99.87076292748942,-99.8707629274894
2.5555555555555554,-99.87259289192532,-99.87259289192536,-99.8725928919253
2.7777777777777777,-99.87347529312466,-99.87347529312466,-99.87347529312461
3.0,-99.87389370004163,-99.87389370004163,-99.87389370004152
