R,HF,FCI,CISD
1.0,-99.12384238719376,-99.12384238719373,-99.1238423871934
1.2222222222222223,-99.24718356733311,-99.24718356733312,-99.24718356733311
1.4444444444444444,-99.29691993343496,-99.2969199334349,-99.29691993343475
1.6666666666666665,-99.31691990974196,-99.31691990974188,-99.31691990974196
1.8888888888888888,-99.32503359516254,-99.32503359516257,-99.32503359515304
2.111111111111111,-99.32832906448286,-99.32832906448287,-99.32832906448108
2.333333333333333,-99.3296442450168,-99.32964424501685,-99.32964424501674
2.5555555555555554,-99.33015557404094,-99.33015557404094,-99.33015557404094
2.7777777777777777,-99.33034982197812,-99.33034982197812,-99.33034982197812
3.0,-99.33042241481127,-99.33042241481135,-99.33042241481127
